iter	Passed	Remaining
579	1446	1047
580	1448	1044
581	1449	1041
582	1451	1038
583	1452	1034
584	1454	1031
585	1455	1028
586	1456	1025
587	1458	1021
588	1461	1020
589	1463	1016
590	1464	1013
591	1466	1010
592	1467	1007
593	1468	1004
594	1470	1000
595	1471	997
596	1473	994
597	1476	992
598	1478	989
599	1479	986
600	1481	983
601	1483	980
602	1484	977
603	1486	974
604	1487	971
605	1491	969
606	1492	966
607	1494	963
608	1495	960
609	1496	957
610	1498	953
611	1499	950
612	1501	947
613	1502	944
614	1506	942
615	1507	939
616	1508	936
617	1510	933
618	1511	930
619	1513	927
620	1514	924
621	1516	921
622	1517	918
623	1520	916
624	1522	913
625	1523	910
626	1525	907
627	1526	904
628	1527	901
629	1529	898
630	1530	895
631	1532	892
632	1535	889
633	1536	887
634	1538	884
635	1539	881
636	1540	878
637	1542	875
638	1543	872
639	1545	869
640	1546	866
641	1549	863
642	1551	861
643	1552	858
644	1554	855
645	1555	852
646	1556	849
647	1558	846
648	1559	843
649	1561	840
650	1564	838
651	1566	835
652	1567	833
653	1569	830
654	1570	827
655	1571	824
656	1573	821
657	1574	818
658	1576	815
659	1579	813
660	1581	810
661	1582	808
662	1583	805
663	1585	802
664	1586	799
665	1588	796
666	1589	793
667	1590	790
668	1594	788
669	1595	786
670	1597	783
671	1598	780
672	1599	777
673	1601	774
674	1602	771
675	1604	768
676	1605	766
677	1609	764
678	1610	761
679	1611	758
680	1613	755
681	1614	752
682	1616	750
683	1617	747
684	1619	744
685	1620	741
686	1623	739
687	1625	737
688	1626	734
689	1628	731
690	1629	728
691	1630	725
692	1632	723
693	1633	720
694	1635	717
695	1638	715
696	1640	713
697	1641	710
698	1642	707
699	1644	704
700	1645	701
701	1647	699
702	1648	696
703	1649	693
704	1653	691
705	1654	689
706	1656	686
707	1657	683
708	1658	680
709	1660	678
710	1661	675
711	1663	672
712	1664	670
713	1667	668
714	1669	665
715	1670	662
716	1672	660
717	1673	657
718	1675	654
719	1676	652
720	1678	649
721	1679	646
722	1683	644
723	1684	642
724	1686	639
725	1687	636
726	1688	634
727	1690	631
728	1691	628
729	1693	626
730	1694	623
731	1698	621
732	1699	619
733	1700	616
734	1702	613
735	1703	611
736	1704	608
737	1706	605
738	1708	603
739	1709	600
740	1713	598
741	1714	596
742	1715	593
743	1717	590
744	1718	588
745	1720	585
746	1721	583
747	1723	580
748	1724	578
749	1728	576
750	1729	573
751	1731	570
752	1732	568
753	1733	565
754	1735	563
755	1736	560
756	1738	557
757	1739	555
758	1742	553
759	1744	550
760	1745	548
761	1746	545
762	1748	543
763	1749	540
764	1751	537
765	1752	535
766	1753	532
767	1756	530
768	1758	528
769	1759	525
770	1761	523
771	1762	520
772	1764	518
773	1765	515
774	1766	512
775	1768	510
776	1770	508
777	1772	505
778	1774	503
779	1775	500
780	1777	498
781	1778	495
782	1779	493
783	1781	490
784	1782	488
785	1784	485
786	1787	483
787	1788	481
788	1790	478
789	1791	476
790	1793	473
791	1795	471
792	1797	469
793	1799	466
794	1801	464
795	1803	462
796	1805	459
797	1807	457
798	1809	455
799	1812	453
800	1815	450
801	1817	448
802	1818	446
803	1821	443
804	1822	441
805	1824	439
806	1826	436
807	1827	434
808	1831	432
809	1833	430
810	1835	427
811	1837	425
812	1839	423
813	1841	420
814	1844	418
815	1847	416
816	1848	414
817	1850	411
818	1852	409
819	1854	407
820	1855	404
821	1858	402
822	1861	400
823	1862	397
824	1864	395
825	1865	393
826	1867	390
827	1868	388
828	1870	385
829	1871	383
830	1874	381
831	1876	378
832	1877	376
833	1879	374
834	1880	371
835	1882	369
836	1883	366
837	1884	364
838	1886	361
839	1889	359
840	1891	357
841	1892	355
842	1894	352
843	1895	350
844	1896	347
845	1898	345
846	1900	343
847	1904	341
848	1907	339
849	1908	336
850	1910	334
851	1912	332
852	1913	329
853	1915	327
854	1918	325
855	1922	323
856	1924	321
857	1925	318
858	1927	316
859	1929	314
860	1930	311
861	1936	309
862	1938	307
863	1939	305
864	1940	302
865	1942	300
866	1943	298
867	1945	295
868	1946	293
869	1949	291
870	1950	288
871	1952	286
872	1954	284
873	1955	281
874	1957	279
875	1958	277
876	1964	275
877	1965	273
878	1967	270
879	1968	268
880	1970	266
881	1971	263
882	1973	261
883	1977	259
884	1979	257
885	1980	254
886	1982	252
887	1983	250
888	1985	247
889	1986	245
890	1988	243
891	1992	241
892	1994	238
893	1995	236
894	1997	234
895	1998	231
896	2000	229
897	2001	227
898	2003	225
899	2007	223
900	2009	220
901	2011	218
902	2012	216
903	2013	213
904	2015	211
905	2016	209
906	2018	206
907	2022	204
908	2023	202
909	2025	200
910	2026	198
911	2028	195
912	2029	193
913	2031	191
914	2032	188
915	2033	186
916	2036	184
917	2037	182
918	2039	179
919	2040	177
920	2042	175
921	2043	172
922	2044	170
923	2046	168
924	2050	166
925	2052	163
926	2053	161
927	2054	159
928	2056	157
929	2058	154
930	2059	152
931	2061	150
932	2065	148
933	2067	146
934	2068	143
935	2070	141
936	2071	139
937	2073	137
938	2074	134
939	2076	132
940	2081	130
941	2083	128
942	2085	126
943	2087	123
944	2088	121
945	2090	119
946	2091	117
947	2097	115
948	2098	112
949	2099	110
950	2101	108
951	2102	106
952	2104	103
953	2105	101
954	2107	99
955	2109	97
956	2111	94
957	2112	92
958	2114	90
959	2115	88
960	2117	85
961	2118	83
962	2120	81
963	2124	79
964	2126	77
965	2127	74
966	2128	72
967	2130	70
968	2131	68
969	2133	65
970	2134	63
971	2138	61
972	2140	59
973	2141	57
974	2143	54
975	2144	52
976	2145	50
977	2147	48
978	2148	46
979	2151	43
980	2154	41
981	2155	39
982	2157	37
983	2158	35
984	2159	32
985	2161	30
986	2162	28
987	2164	26
988	2169	24
989	2171	21
990	2172	19
991	2174	17
992	2175	15
993	2176	13
994	2178	10
995	2182	8
996	2184	6
997	2186	4
998	2187	2
999	2191	0
